name,street,city,state,zip,type
UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,1100 E MAIN ST,ENDICOTT,NY,13760,OTHER
CHARLES F JOHNSON JR ELEMENTARY SCHOOL,715 PADEN ST,ENDICOTT,NY,13760,OTHER
GEORGE F JOHNSON ELEMENTARY SCHOOL,999 TAFT AVE,ENDICOTT,NY,13760,OTHER
JENNIE F SNAPP MIDDLE SCHOOL,101 LODER AVE,ENDICOTT,NY,13760,OTHER
LINNAEUS W WEST PRIMARY SCHOOL,1201 UNN CTR MNE HWY,ENDICOTT,NY,13760,OTHER
UNION ENDICOTT HIGH SCHOOL,1200 E MAIN ST,ENDICOTT,NY,13760,OTHER
THOMAS J WATSON SR ELEMENTARY SCHOOL,263 RIDGEFIELD RD,ENDICOTT,NY,13760,OTHER
ANN G MCGUINNESS INTERMEDIATE SCHOOL,1301 UNN CTR MNE HWY,ENDICOTT,NY,13760,OTHER
SAINT JOSEPH SCHOOL,210 N JACKSON AVE,ENDICOTT,NY,13760,OTHER
OUR LADY OF SORROWS ELEM-SETON MIDDLE SCHOOL,1112 BROAD ST,ENDICOTT,NY,13760,OTHER
JOHNSON CITY CENTRAL SCHOOL DISTRICT,666 REYNOLDS RD,JOHNSON CITY,NY,13790,OTHER
JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,601 COLUMBIA DR,JOHNSON CITY,NY,13790,OTHER
JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,601 COLUMBIA DR,JOHNSON CITY,NY,13790,OTHER
JOHNSON CITY MIDDLE SCHOOL,601 COLUMBIA DR,JOHNSON CITY,NY,13790,OTHER
JOHNSON CITY SENIOR HIGH SCHOOL,666 REYNOLDS RD,JOHNSON CITY,NY,13790,OTHER
SAINT JAMES SCHOOL,143 MAIN ST,JOHNSON CITY,NY,13790,OTHER
BROOME DEVELOPMENTAL CENTER,249 GLENWOOD RD,BINGHAMTON,NY,13905,OTHER
THE CRESCENT ACADEMY,1 ENDICOTT AVE,JOHNSON CITY,NY,13790,OTHER
VESTAL CENTRAL SCHOOL DISTRICT,201 MAIN ST,VESTAL,NY,13850,OTHER
AFRICAN ROAD ELEMENTARY SCHOOL,600 S BENITA BLVD,VESTAL,NY,13850,OTHER
CLAYTON AVENUE ELEMENTARY SCHOOL,209 CLAYTON AVE,VESTAL,NY,13850,OTHER
GLENWOOD ELEMENTARY SCHOOL,337 JONES RD,VESTAL,NY,13850,OTHER
TIOGA HILLS ELEMENTARY SCHOOL,40-48 GLANN RD,APALACHIN,NY,13732,OTHER
VESTAL HILLS ELEMENTARY SCHOOL,709 COUNTRY CLUB RD,VESTAL,NY,13850,OTHER
VESTAL MIDDLE SCHOOL,600 S BENITA BLVD,VESTAL,NY,13850,OTHER
VESTAL SENIOR HIGH SCHOOL,205 WOODLAWN DR,VESTAL,NY,13850,OTHER
HILLEL ACADEMY,4737 DEERFIELD PL,VESTAL,NY,13850,OTHER
ROSS CORNERS CHRISTIAN ACADEMY,2101 OWEGO RD,VESTAL,NY,13850,OTHER
WINDSOR CENTRAL SCHOOL DISTRICT,215 MAIN ST,WINDSOR,NY,13865,OTHER
FLOYD BELL ELEMENTARY SCHOOL,15 GOLDEN ST,KIRKWOOD,NY,13795,OTHER
C R WEEKS ELEMENTARY SCHOOL,440 FOLEY RD,WINDSOR,NY,13865,OTHER
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,213 MAIN ST,WINDSOR,NY,13865,OTHER
WINDSOR CENTRAL HIGH SCHOOL,1191 NY RT 79,WINDSOR,NY,13865,OTHER
WEST VALLEY CENTRAL SCHOOL DISTRICT,PO BOX 290,WEST VALLEY,NY,14171,OTHER
WEST VALLEY CENTRAL SCHOOL,PO BOX 290,WEST VALLEY,NY,14171,OTHER
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,OTHER
ALLEGANY-LIMESTONE HIGH SCHOOL,3131 FIVE MILE RD,ALLEGANY,NY,14706,OTHER
ALLEGANY ELEMENTARY SCHOOL,120 MAPLE AVE,ALLEGANY,NY,14706,OTHER
LIMESTONE ELEMENTARY SCHOOL,640 MAIN ST,LIMESTONE,NY,14753,OTHER
ALLEGANY-LIMESTONE MIDDLE SCHOOL,3131 FIVE MILE RD,ALLEGANY,NY,14706,OTHER
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,OTHER
ELLICOTTVILLE ELEMENTARY SCHOOL,PO BOX 51,ELLICOTTVILLE,NY,14731,OTHER
ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,PO BOX 51,ELLICOTTVILLE,NY,14731,OTHER
GREAT VALLEY RESIDENTIAL CENTER,6619 MUTTON HOLLOW RD,GREAT VALLEY,NY,14741,OTHER
FRANKLINVILLE CENTRAL SCHOOL DISTRICT,31 N MAIN ST,FRANKLINVILLE,NY,14737,OTHER
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,31 N MAIN ST,FRANKLINVILLE,NY,14737,OTHER
FRANKLINVILLE ELEMENTARY SCHOOL,32 N MAIN ST,FRANKLINVILLE,NY,14737,OTHER
HINSDALE CENTRAL SCHOOL DISTRICT,PO BOX 278,HINSDALE,NY,14743,OTHER
HINSDALE CENTRAL SCHOOL,PO BOX 278,HINSDALE,NY,14743,OTHER
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,OTHER
CATTARAUGUS-LITTLE VALLEY INTERMEDIATE SCHOOL,207 ROCK CITY ST,LITTLE VALLEY,NY,14755,OTHER
CATTARAUGUS-LITTLE VALLEY PRIMARY SCHOOL,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,OTHER
CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,OTHER
CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,OTHER
OLEAN CITY SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,OTHER
WASHINGTON WEST ELEMENTARY SCHOOL,1626 WASHINGTON ST,OLEAN,NY,14760,OTHER
EAST VIEW ELEMENTARY SCHOOL,690 E SPRING ST,OLEAN,NY,14760,OTHER
BOARDMANVILLE ELEMENTARY SCHOOL,622 MAIN ST,OLEAN,NY,14760,OTHER
